Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR17266803,postnatal 21 days,RNA-Seq,150,193514700,PRJNA789927,SAMN24174962,80089680,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444477,wild type,PN21,NextSeq 500,GSM5740561,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740561,Lung,SRP351417,C57BL/6,lung
SRR17266807,postnatal 21 days,RNA-Seq,150,232171350,PRJNA789927,SAMN24175022,96776955,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444757,wild type,PN21,NextSeq 500,GSM5740501,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740501,Lung,SRP351417,C57BL/6,lung
SRR17266808,postnatal 21 days,RNA-Seq,150,196773300,PRJNA789927,SAMN24175023,81402054,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444756,wild type,PN21,NextSeq 500,GSM5740500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740500,Lung,SRP351417,C57BL/6,lung
SRR17266812,postnatal 21 days,RNA-Seq,150,230199150,PRJNA789927,SAMN24175027,94952034,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444752,wild type,PN21,NextSeq 500,GSM5740496,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740496,Lung,SRP351417,C57BL/6,lung
SRR17266823,postnatal 21 days,RNA-Seq,150,183293850,PRJNA789927,SAMN24175038,77097385,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444741,wild type,PN21,NextSeq 500,GSM5740485,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740485,Lung,SRP351417,C57BL/6,lung
SRR17266828,postnatal 21 days,RNA-Seq,150,240449250,PRJNA789927,SAMN24175043,98996818,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444736,wild type,PN21,NextSeq 500,GSM5740480,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740480,Lung,SRP351417,C57BL/6,lung
SRR17266850,postnatal 21 days,RNA-Seq,150,308752800,PRJNA789927,SAMN24174337,126412037,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444714,wild type,PN120,NextSeq 500,GSM5741186,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741186,Lung,SRP351417,C57BL/6,lung
SRR17266851,postnatal 21 days,RNA-Seq,150,197554200,PRJNA789927,SAMN24174338,81043940,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444713,wild type,PN120,NextSeq 500,GSM5741185,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741185,Lung,SRP351417,C57BL/6,lung
SRR17266858,postnatal 21 days,RNA-Seq,150,277299150,PRJNA789927,SAMN24174345,113258270,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444706,wild type,PN120,NextSeq 500,GSM5741178,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741178,Lung,SRP351417,C57BL/6,lung
SRR17266865,postnatal 21 days,RNA-Seq,150,251768250,PRJNA789927,SAMN24174408,103749373,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444699,wild type,PN120,NextSeq 500,GSM5741115,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741115,Lung,SRP351417,C57BL/6,lung
SRR17266868,postnatal 21 days,RNA-Seq,150,205847400,PRJNA789927,SAMN24174411,86426105,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444696,wild type,PN120,NextSeq 500,GSM5741112,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741112,Lung,SRP351417,C57BL/6,lung
SRR17266873,postnatal 21 days,RNA-Seq,150,169668150,PRJNA789927,SAMN24174416,70964416,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444691,wild type,PN120,NextSeq 500,GSM5741107,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741107,Lung,SRP351417,C57BL/6,lung
SRR17266876,postnatal 21 days,RNA-Seq,150,177955050,PRJNA789927,SAMN24174419,73879967,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444688,wild type,PN120,NextSeq 500,GSM5741104,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741104,Lung,SRP351417,C57BL/6,lung
SRR17266884,postnatal 21 days,RNA-Seq,150,26700,PRJNA789927,SAMN24174427,84848,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444680,wild type,PN120,NextSeq 500,GSM5741096,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741096,Lung,SRP351417,C57BL/6,lung
SRR17266886,postnatal 21 days,RNA-Seq,150,198390600,PRJNA789927,SAMN24174429,82094981,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444678,wild type,PN120,NextSeq 500,GSM5741094,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741094,Lung,SRP351417,C57BL/6,lung
SRR17266888,postnatal 21 days,RNA-Seq,150,220399650,PRJNA789927,SAMN24174487,90895235,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444676,wild type,PN120,NextSeq 500,GSM5741036,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741036,Lung,SRP351417,C57BL/6,lung
SRR17266889,postnatal 21 days,RNA-Seq,150,232868100,PRJNA789927,SAMN24174488,96001434,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444675,wild type,PN120,NextSeq 500,GSM5741035,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741035,Lung,SRP351417,C57BL/6,lung
SRR17266893,postnatal 21 days,RNA-Seq,150,218537700,PRJNA789927,SAMN24174492,90824640,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444671,wild type,PN120,NextSeq 500,GSM5741031,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741031,Lung,SRP351417,C57BL/6,lung
SRR17266895,postnatal 21 days,RNA-Seq,150,67584450,PRJNA789927,SAMN24174494,26916806,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444669,wild type,PN120,NextSeq 500,GSM5741029,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741029,Lung,SRP351417,C57BL/6,lung
SRR17266896,postnatal 21 days,RNA-Seq,150,173083650,PRJNA789927,SAMN24174495,71929409,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444668,wild type,PN120,NextSeq 500,GSM5741028,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741028,Lung,SRP351417,C57BL/6,lung
SRR17266902,postnatal 21 days,RNA-Seq,150,261995850,PRJNA789927,SAMN24174501,108300074,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444662,wild type,PN120,NextSeq 500,GSM5741022,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741022,Lung,SRP351417,C57BL/6,lung
SRR17266903,postnatal 21 days,RNA-Seq,150,187131000,PRJNA789927,SAMN24174502,78730644,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444661,wild type,PN120,NextSeq 500,GSM5741021,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741021,Lung,SRP351417,C57BL/6,lung
SRR17266906,postnatal 21 days,RNA-Seq,150,242643750,PRJNA789927,SAMN24174505,100475152,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444658,wild type,PN120,NextSeq 500,GSM5741018,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741018,Lung,SRP351417,C57BL/6,lung
SRR17266190,postnatal 21 days,RNA-Seq,150,132732150,PRJNA789927,SAMN24174858,54560025,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444497,wild type,PN21,NextSeq 500,GSM5740665,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740665,Lung,SRP351417,C57BL/6,lung
SRR17266191,postnatal 21 days,RNA-Seq,150,85043100,PRJNA789927,SAMN24174859,35235897,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444496,wild type,PN21,NextSeq 500,GSM5740664,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740664,Lung,SRP351417,C57BL/6,lung
SRR17266193,postnatal 21 days,RNA-Seq,150,169449300,PRJNA789927,SAMN24174861,69004079,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444494,wild type,PN21,NextSeq 500,GSM5740662,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740662,Lung,SRP351417,C57BL/6,lung
SRR17266195,postnatal 21 days,RNA-Seq,150,150189600,PRJNA789927,SAMN24174863,61263935,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444492,wild type,PN21,NextSeq 500,GSM5740660,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740660,Lung,SRP351417,C57BL/6,lung
SRR17266202,postnatal 21 days,RNA-Seq,150,245946900,PRJNA789927,SAMN24174870,100759435,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444485,wild type,PN21,NextSeq 500,GSM5740653,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740653,Lung,SRP351417,C57BL/6,lung
SRR17266206,postnatal 21 days,RNA-Seq,150,274774050,PRJNA789927,SAMN24174874,112690172,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444481,wild type,PN21,NextSeq 500,GSM5740649,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740649,Lung,SRP351417,C57BL/6,lung
SRR17266214,postnatal 21 days,RNA-Seq,150,202449000,PRJNA789927,SAMN24174966,84882093,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444473,wild type,PN21,NextSeq 500,GSM5740557,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740557,Lung,SRP351417,C57BL/6,lung
SRR17266216,postnatal 21 days,RNA-Seq,150,191904900,PRJNA789927,SAMN24174968,79661177,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444471,wild type,PN21,NextSeq 500,GSM5740555,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740555,Lung,SRP351417,C57BL/6,lung
SRR17266228,postnatal 21 days,RNA-Seq,150,231306300,PRJNA789927,SAMN24174980,95272638,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444459,wild type,PN21,NextSeq 500,GSM5740543,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740543,Lung,SRP351417,C57BL/6,lung
SRR17266232,postnatal 21 days,RNA-Seq,150,234835800,PRJNA789927,SAMN24174984,97365052,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444455,wild type,PN21,NextSeq 500,GSM5740539,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740539,Lung,SRP351417,C57BL/6,lung
SRR17266233,postnatal 21 days,RNA-Seq,150,270683700,PRJNA789927,SAMN24174985,111436461,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444454,wild type,PN21,NextSeq 500,GSM5740538,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740538,Lung,SRP351417,C57BL/6,lung
SRR17266235,postnatal 21 days,RNA-Seq,150,106329300,PRJNA789927,SAMN24174987,44038544,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444452,wild type,PN21,NextSeq 500,GSM5740536,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740536,Lung,SRP351417,C57BL/6,lung
SRR17266236,postnatal 21 days,RNA-Seq,150,203562000,PRJNA789927,SAMN24174988,83894031,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444451,wild type,PN21,NextSeq 500,GSM5740535,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740535,Lung,SRP351417,C57BL/6,lung
SRR17266243,postnatal 21 days,RNA-Seq,150,339905400,PRJNA789927,SAMN24174318,139089670,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444733,wild type,PN120,NextSeq 500,GSM5741205,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741205,Lung,SRP351417,C57BL/6,lung
SRR17266244,postnatal 21 days,RNA-Seq,150,235795800,PRJNA789927,SAMN24174347,96468875,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444444,wild type,PN120,NextSeq 500,GSM5741176,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741176,Lung,SRP351417,C57BL/6,lung
SRR17266246,postnatal 21 days,RNA-Seq,150,135377850,PRJNA789927,SAMN24174349,55800987,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444442,wild type,PN120,NextSeq 500,GSM5741174,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741174,Lung,SRP351417,C57BL/6,lung
SRR17266255,postnatal 21 days,RNA-Seq,150,350984550,PRJNA789927,SAMN24174358,143755050,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444433,wild type,PN120,NextSeq 500,GSM5741165,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741165,Lung,SRP351417,C57BL/6,lung
SRR17266263,postnatal 21 days,RNA-Seq,150,223581750,PRJNA789927,SAMN24174366,91763503,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444425,wild type,PN120,NextSeq 500,GSM5741157,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741157,Lung,SRP351417,C57BL/6,lung
SRR17266264,postnatal 21 days,RNA-Seq,150,104488650,PRJNA789927,SAMN24174367,43190946,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444424,wild type,PN120,NextSeq 500,GSM5741156,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5741156,Lung,SRP351417,C57BL/6,lung
SRR17266275,postnatal 21 days,RNA-Seq,150,256296150,PRJNA789927,SAMN24174714,104805003,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444413,wild type,PN90,NextSeq 500,GSM5740809,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740809,Lung,SRP351417,C57BL/6,lung
SRR17266283,postnatal 21 days,RNA-Seq,150,201528900,PRJNA789927,SAMN24174722,81069745,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444405,wild type,PN90,NextSeq 500,GSM5740801,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740801,Lung,SRP351417,C57BL/6,lung
SRR17266285,postnatal 21 days,RNA-Seq,150,230160300,PRJNA789927,SAMN24174724,93072334,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444403,wild type,PN90,NextSeq 500,GSM5740799,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740799,Lung,SRP351417,C57BL/6,lung
SRR17266295,postnatal 21 days,RNA-Seq,150,354380850,PRJNA789927,SAMN24174734,142500131,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444393,wild type,PN90,NextSeq 500,GSM5740789,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740789,Lung,SRP351417,C57BL/6,lung
SRR17266297,postnatal 21 days,RNA-Seq,150,190402800,PRJNA789927,SAMN24174736,75841610,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444391,wild type,PN90,NextSeq 500,GSM5740787,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740787,Lung,SRP351417,C57BL/6,lung
SRR17266300,postnatal 21 days,RNA-Seq,150,184453950,PRJNA789927,SAMN24174767,73898347,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444388,wild type,PN90,NextSeq 500,GSM5740756,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740756,Lung,SRP351417,C57BL/6,lung
SRR17266308,postnatal 21 days,RNA-Seq,150,207336600,PRJNA789927,SAMN24174775,82802948,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444380,wild type,PN90,NextSeq 500,GSM5740748,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740748,Lung,SRP351417,C57BL/6,lung
SRR17266311,postnatal 21 days,RNA-Seq,150,75514500,PRJNA789927,SAMN24174778,30914004,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444377,wild type,PN90,NextSeq 500,GSM5740745,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740745,Lung,SRP351417,C57BL/6,lung
SRR17266322,postnatal 21 days,RNA-Seq,150,71531100,PRJNA789927,SAMN24174789,28704622,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444366,wild type,PN90,NextSeq 500,GSM5740734,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740734,Lung,SRP351417,C57BL/6,lung
SRR17266323,postnatal 21 days,RNA-Seq,150,313055850,PRJNA789927,SAMN24174790,127817598,STANFORD UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13444365,wild type,PN90,NextSeq 500,GSM5740733,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-12-06T00:00:00Z,GSM5740733,Lung,SRP351417,C57BL/6,lung
